,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details,Class,Version2,Version1
4613,29006,4.4,557,2021,54450.0,Ford,Great, Ford F-150 Lariat,Lariat,F-150,Ford
4614,27149,4.4,385,2019,30555.0,Nissan,Unknown,9 Nissan Maxima 3.5 SL,SL,3.5,Maxima
4615,31409,4.6,1189,2020,41750.0,Dodge,Good, Dodge Durango R/T,R/T,Durango,Dodge
4616,2379,4.4,2435,2022,79995.0,GMC,Good, GMC Sierra 2500 AT4,AT4,2500,Sierra
4617,21011,4.6,259,2020,53224.0,Toyota,Good, Toyota Tundra Platinum,Platinum,Tundra,Toyota
4618,2004,4.3,19,2022,72998.0,Toyota,Good, Toyota Tundra Platinum,Platinum,Tundra,Toyota
4619,30713,4.7,28,2020,39895.0,Ford,Good, Ford Explorer XLT,XLT,Explorer,Ford
4620,44323,2.8,208,2018,37988.0,Volvo,Good, Volvo XC60 T6 Inscription,Inscription,T6,XC60
4621,61324,4.8,1303,2017,18000.0,Chevrolet,Good,7 Chevrolet Malibu 1LS,1LS,Malibu,Chevrolet
4622,15822,4.9,1275,2021,42990.0,Chevrolet,Great, Chevrolet Colorado Z7,Z7,Colorado,Chevrolet
4623,8183,4.4,32,2022,33375.0,Toyota,Unknown, Toyota Camry SE,SE,Camry,Toyota
4624,32145,4.7,264,2019,41995.0,Volvo,Great,9 Volvo XC90 T6 Momentum,Momentum,T6,XC90
4625,11518,4.7,425,2022,57714.0,Acura,Good, Acura MDX A-Spec,A-Spec,MDX,Acura
4626,59040,4.9,322,2020,51749.0,GMC,Great, GMC Yukon Denali,Denali,Yukon,GMC
4627,43307,3.1,1207,2021,57000.0,Ford,Good, Ford F-350 XLT,XLT,F-350,Ford
4628,15749,4.0,50,2019,21799.0,Buick,Great,9 Buick Encore Sport Touring,Touring,Sport,Encore
4629,5985,4.5,147,2022,129500.0,Porsche,Good, Porsche Taycan Cross Turismo 4,4,Turismo,Cross
4630,35597,4.7,189,2020,29333.0,Ford,Great, Ford Edge SEL,SEL,Edge,Ford
4631,11566,4.7,480,2021,67500.0,INFINITI,Great, INFINITI QX80 SENSORY,SENSORY,QX80,INFINITI
4632,8956,3.7,63,2020,94988.0,BMW,Great, BMW M5 ,M5,BMW,BMW
4633,20981,4.5,565,2021,26027.0,Chevrolet,Great, Chevrolet Equinox 1LT,1LT,Equinox,Chevrolet
4634,36420,4.7,1466,2021,42977.0,Jeep,Great, Jeep Grand Cherokee Summit,Summit,Cherokee,Grand
4635,35832,4.9,157,2021,33787.0,INFINITI,Unknown, INFINITI QX50 Luxe,Luxe,QX50,INFINITI
4636,9781,4.8,3691,2021,46450.0,Dodge,Good, Dodge Charger GT,GT,Charger,Dodge
4637,42872,4.9,441,2018,19969.0,Volkswagen,Unknown, Volkswagen Tiguan Limited 2.0T,2.0T,Limited,Tiguan
4638,28407,3.8,158,2021,43667.0,Cadillac,Unknown, Cadillac XT6 Luxury FWD,FWD,Luxury,XT6
4639,8429,4.6,614,2021,37571.0,Acura,Good, Acura TLX Technology,Technology,TLX,Acura
4640,1443,4.8,653,2022,38995.0,Volkswagen,Great, Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,w/Technology,SE,V6
4641,53474,3.3,513,2018,29014.0,GMC,Great, GMC Acadia SLT-,SLT-,Acadia,GMC
4642,31573,4.7,2645,2018,59799.0,Porsche,Great, Porsche 718 Boxster ,Boxster,718,Porsche
4643,17731,4.7,2645,2018,74899.0,Porsche,Good, Porsche 718 Boxster S,S,Boxster,718
4644,9387,4.6,237,2021,76488.0,Ford,Good, Ford Expedition Max King Ranch,Ranch,King,Max
4645,24762,2.6,210,2020,42590.0,Ford,Good, Ford F-150 XLT,XLT,F-150,Ford
4646,57507,3.3,52,2019,38843.0,INFINITI,Great,9 INFINITI QX80 Luxe,Luxe,QX80,INFINITI
4647,21081,3.3,56,2022,36990.0,Toyota,Fair, Toyota Camry Hybrid Nightshade,Nightshade,Hybrid,Camry
4648,33054,4.9,358,2019,32800.0,BMW,Great,9 BMW 430 Gran Coupe i xDrive,xDrive,i,Coupe
4649,7744,4.0,68,2022,72992.0,Chevrolet,Good, Chevrolet Suburban LT,LT,Suburban,Chevrolet
4650,32319,4.3,433,2020,46500.0,Volvo,Great, Volvo XC90 T5 Momentum 7 Passenger,Passenger,7,Momentum
4651,33867,4.9,134,2020,41690.0,Toyota,Good, Toyota Sienna XLE,XLE,Sienna,Toyota
4652,24980,4.3,218,2020,46795.0,Cadillac,Good, Cadillac XT5 Sport,Sport,XT5,Cadillac
4653,42469,4.7,878,2021,45991.0,Chevrolet,Great, Chevrolet Silverado 1500 LTZ,LTZ,1500,Silverado
4654,54411,4.9,28,2019,48995.0,Chevrolet,Fair,9 Chevrolet Silverado 1500 High Country,Country,High,1500
4655,39037,4.6,1252,2021,28415.0,Jeep,Unknown, Jeep Grand Cherokee Laredo E,E,Laredo,Cherokee
4656,52043,3.1,1207,2019,65000.0,Ford,Good,9 Ford F-250 Lariat,Lariat,F-250,Ford
4657,23913,4.7,1480,2020,39880.0,Kia,Good, Kia Telluride S,S,Telluride,Kia
4658,20257,4.3,971,2019,51594.0,Jeep,Good,9 Jeep Wrangler Unlimited Rubicon,Rubicon,Unlimited,Wrangler
4659,15677,4.8,527,2020,39790.0,Volvo,Great, Volvo XC40 T5 Momentum,Momentum,T5,XC40
4660,46598,4.7,1546,2020,52806.0,Chevrolet,Great, Chevrolet Silverado 1500 High Country,Country,High,1500
4661,30851,4.3,37,2019,44900.0,Chevrolet,Good,9 Chevrolet Traverse High Country,Country,High,Traverse
4662,15622,3.2,843,2021,36657.0,Chevrolet,Good, Chevrolet Traverse LS,LS,Traverse,Chevrolet
4663,3342,4.8,1857,2022,58678.0,Cadillac,Good, Cadillac CT4-V V-Series,V-Series,CT4-V,Cadillac
4664,8270,4.4,1589,2022,56742.0,Ford,Good, Ford Explorer ST,ST,Explorer,Ford
4665,25699,4.6,1198,2021,40000.0,Jeep,Great, Jeep Grand Cherokee Limited,Limited,Cherokee,Grand
4666,12540,4.7,2946,2020,33991.0,Dodge,Good, Dodge Durango SXT,SXT,Durango,Dodge
4667,33371,4.7,5502,2021,47991.0,Dodge,Good, Dodge Durango R/T,R/T,Durango,Dodge
4668,52785,4.5,5127,2015,47800.0,Ford,Fair,5 Ford Transit-350 Base,Base,Transit-350,Ford
4669,2316,4.0,631,2022,52900.0,BMW,Good, BMW 430 Gran Coupe i,i,Coupe,Gran
4670,13933,4.8,2768,2022,41000.0,Kia,Great, Kia Carnival LXS,LXS,Carnival,Kia
4671,25002,4.3,122,2021,69830.0,Ford,Good, Ford Expedition Max King Ranch,Ranch,King,Max
4672,43816,4.9,895,2018,42655.0,GMC,Good, GMC Sierra 1500 SLT,SLT,1500,Sierra
4673,18927,4.8,390,2021,88998.0,Porsche,Good, Porsche Macan Turbo,Turbo,Macan,Porsche
