,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
66,2022 BMW X4 M40i, 636 mi.,"$72,915",Good Deal,Nan,4.3,(456 reviews)
67,2010 Mercedes-Benz M-Class ML 350 BlueTEC," 81,776 mi.","$13,000","Great Deal | $4,735 under","Adaptive Cruise Control, headlight control - auto highbeam, keyless entry, Alloy Wheels, driver monitor, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.4,(137 reviews)
68,2015 BMW 320 i," 90,192 mi.","$14,495","Great Deal | $3,494 under","keyless entry, Sunroof/Moonroof, Backup Camera",3.1,(22 reviews)
69,2020 INFINITI QX80 Luxe," 60,834 mi.","$36,495",Home Delivery,"keyless entry, Alloy Wheels, Bluetooth, Sunroof/Moonroof, Heated Seats",4.7,(0 reviews)
70,2008 Aston Martin V8 Vantage ," 19,236 mi.","$44,995",Great Deal,Nan,3.1,(22 reviews)
71,2015 Lamborghini Huracan LP610-4," 28,202 mi.","$185,000",,Nan,4.7,(346 reviews)
72,2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC," 33,671 mi.","$58,500","Great Deal | $9,072 under",Nan,3.2,(52 reviews)
73,2010 Mazda RX-8 Grand Touring," 42,911 mi.","$14,995",Good Deal,Nan,4.4,(90 reviews)
74,2010 Chevrolet Express 3500 LT," 64,681 mi.","$32,899",Fair Deal,Nan,1.9,(30 reviews)
75,2017 Volkswagen Touareg V6 Wolfsburg Edition," 43,910 mi.","$28,995",Good Deal,"keyless entry, Keyless Start, LED Headlights, Heated Seats, Cooled Seats, Automatic Emergency Braking, collision warning system, parking distance sensors, Rear Cross Traffic Alert, parking assistance",4.4,(137 reviews)
76,2015 Volkswagen CC 2.0T Sport," 78,105 mi.","$14,395","Great Deal | $1,006 under","LED Headlights, Heated Seats, parking assistance, parking distance sensors",3.9,(50 reviews)
77,2019 Audi TTS 2.0T quattro," 16,733 mi.","$48,300",Good Deal | $864 under,keyless entry,5.0,"(1,486 reviews)"
78,2017 Jaguar XJ XJL Portfolio," 43,491 mi.","$31,991",Great Deal,Nan,4.1,(940 reviews)
79,2020 Lincoln Corsair Reserve," 36,315 mi.","$37,877","Great Deal | $2,795 under","headlight control - auto highbeam, keyless entry, LED Headlights, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, traffic sign recognition, Rear Cross Traffic Alert, parking assistance, parking distance sensors",4.9,"(3,469 reviews)"
80,2021 Land Rover Range Rover Sport 3.0 Supercharged HST," 25,755 mi.","$77,995","Good Deal | $2,547 under","keyless entry, Premium Sound System, Heated Seats, Sunroof/Moonroof",4.7,(245 reviews)
81,2008 Jaguar XKR ," 62,342 mi.","$19,991",Great Deal,keyless entry,4.1,(940 reviews)
82,2022 Audi Q3 45 S line Premium," 14,039 mi.","$41,351","Great Deal | $4,806 under","Sunroof/Moonroof, Heated Seats, parking assistance, parking distance sensors, Backup Camera",2.6,(56 reviews)
83,2020 Mercedes-Benz GLC 300 Base," 20,453 mi.","$39,328","Great Deal | $9,344 under",Nan,4.6,(228 reviews)
84,2021 Bentley Bentayga Speed," 6,211 mi.","$279,950",Good Deal,"keyless entry, Tow Hitch, Navigation System, parking assistance, parking distance sensors",Nan,(13 reviews)
85,2019 Land Rover Range Rover Velar P250 SE R-Dynamic," 37,466 mi.","$54,998",Good Deal,"keyless entry, LED Headlights, Sunroof/Moonroof, Heated Seats, parking assistance, parking distance sensors",3.3,(6 reviews)
86,2019 Porsche Macan S," 39,813 mi.","$51,599","Good Deal | $1,680 under",keyless entry,5.0,"(1,548 reviews)"
87,2019 Porsche Macan S," 39,813 mi.","$51,599","Good Deal | $1,680 under",Nan,5.0,"(1,548 reviews)"
88,2020 Ford F-350 XL," 17,982 mi.","$56,900",Good Deal,"Keyless Start, keyless entry, headlight control - auto highbeam, LED Headlights, USB Port, Heated Seats, Cooled Seats, Heated Steering Wheel, driver monitor, Automatic Emergency Braking, collision warning system, Backup Camera, Lane Departure Warning, Rear Cross Traffic Alert, parking assistance, parking distance sensors",4.3,(39 reviews)
89,2019 Toyota Highlander Hybrid Limited Platinum," 41,040 mi.","$48,998",Fair Deal,"keyless entry, Keyless Start, parking distance sensors, parking assistance",4.8,(3 reviews)
90,2017 Ford Taurus Limited," 75,791 mi.","$20,800",Good Deal | $881 under,Nan,4.8,"(2,115 reviews)"
91,2014 Land Rover LR2 Base," 73,865 mi.","$16,995",Fair Deal,Nan,4.7,(123 reviews)
92,2016 Hyundai Tucson Sport," 65,242 mi.","$19,488","Great Deal | $1,555 under","keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Sunroof/Moonroof, Heated Seats, Heated Steering Wheel, Lane Departure Warning, front cross traffic alert, parking assistance, traffic sign recognition, Backup Camera, autonomous drive, parking distance sensors, dynamic steering, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, driver monitor, Rear Cross Traffic Alert",5.0,"(1,283 reviews)"
93,2015 Nissan Sentra SV," 122,119 mi.","$6,995",Home Delivery,"keyless entry, headlight control - auto highbeam, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Sunroof/Moonroof, Heated Seats, Heated Steering Wheel, Lane Departure Warning, front cross traffic alert, parking assistance, traffic sign recognition, Backup Camera, autonomous drive, parking distance sensors, dynamic steering, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, driver monitor, Rear Cross Traffic Alert",4.5,"(1,019 reviews)"
94,2021 Land Rover Range Rover Velar S," 19,296 mi.","$55,495",Great Deal,Nan,4.2,"(1,008 reviews)"
95,2018 Subaru WRX Base," 17,908 mi.","$28,649","Great Deal | $1,486 under",Nan,4.9,(800 reviews)
96,2019 BMW M760 i xDrive," 26,643 mi.","$75,888",Home Delivery,Nan,Nan,(3 reviews)
97,2018 RAM 1500 Sport," 30,826 mi.","$39,399",Fair Deal,Nan,4.7,(55 reviews)
98,2016 Jaguar F-TYPE S," 21,997 mi.","$52,500",Fair Deal,keyless entry,4.1,(171 reviews)
99,2014 Hyundai Equus Signature," 47,700 mi.","$25,998",Good Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Heated Seats, Heated Steering Wheel, parking assistance, parking distance sensors, Lane Departure Warning, dynamic steering, Automatic Emergency Braking, collision warning system, driver monitor, Blind Spot Monitor",4.7,(4 reviews)
100,2022 Nissan Pathfinder SL," 13,320 mi.","$43,998",Good Deal,Nan,4.6,(40 reviews)
101,2022 Kia Telluride LX," 26,666 mi.","$40,877","Good Deal | $1,825 under",Third Row Seating,5.0,"(1,699 reviews)"
102,2021 Volkswagen Tiguan 2.0T SE R-Line Black," 26,143 mi.","$29,998","Great Deal | $1,623 under",Nan,4.7,(6 reviews)
103,2010 Porsche 911 Carrera S," 86,275 mi.","$52,900",Fair Deal,"keyless entry, LED Headlights, Heated Seats",3.3,(23 reviews)
104,2019 Lexus RX 350 350," 41,192 mi.","$38,995","Great Deal | $7,650 under","keyless entry, LED Headlights, Navigation System, Blind Spot Monitor, parking distance sensors, Automatic Emergency Braking, parking assistance, dynamic steering",4.2,"(1,008 reviews)"
105,2016 Cadillac ATS 2.0L Turbo Luxury," 65,036 mi.","$21,464",Good Deal | $392 under,Nan,4.2,(173 reviews)
106,2016 Cadillac ATS 2.0L Turbo Luxury," 65,036 mi.","$21,464",Good Deal | $392 under,"keyless entry, headlight control - auto highbeam, LED Headlights, USB Port, Heated Steering Wheel, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking distance sensors, Backup Camera, parking assistance",4.2,(173 reviews)
107,2016 Honda HR-V EX-L w/Navigation," 123,728 mi.","$16,997","Great Deal | $2,061 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Tow Hitch, Apple CarPlay/Android Auto, USB Port, Cooled Seats, Heated Seats, Sunroof/Moonroof, Backup Camera, autonomous drive, trailer assist, parking distance sensors, traffic sign recognition, parking assistance, dynamic steering, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, Lane Departure Warning",3.7,(270 reviews)
108,2022 Buick Enclave Essence," 3,984 mi.","$45,974",Good Deal,Nan,3.5,(103 reviews)
109,2013 Kia Optima SX," 152,648 mi.","$8,995",Great Deal | $717 under,Nan,4.6,(272 reviews)
110,2017 Cadillac Escalade Luxury," 65,449 mi.","$42,950","Great Deal | $5,534 under","keyless entry, LED Headlights, USB Port, dynamic steering, Blind Spot Monitor, Automatic Emergency Braking, driver monitor, collision warning system",4.4,(17 reviews)
111,2019 INFINITI Q70 3.7X LUXE," 53,454 mi.","$35,995",Fair Deal,Nan,4.8,(44 reviews)
112,2019 RAM 3500 Tradesman," 126,908 mi.","$45,000","Great Deal | $3,180 under",Nan,5.0,(362 reviews)
113,2013 Porsche Panamera GTS," 87,105 mi.","$39,950",Good Deal | $137 under,"keyless entry, LED Headlights, USB Port, Cooled Seats, Heated Steering Wheel, Blind Spot Monitor, Automatic Emergency Braking, parking assistance, parking distance sensors",4.9,(336 reviews)
114,2009 Audi TT 2.0T," 84,444 mi.","$14,495",Good Deal | $121 under,"keyless entry, LED Headlights, USB Port, Cooled Seats, Heated Steering Wheel, Blind Spot Monitor, Automatic Emergency Braking, parking assistance, parking distance sensors",4.6,(1 review)
115,2022 Lexus RX 350 F SPORT Handling," 8,870 mi.","$54,620","Great Deal | $3,897 under",Nan,4.7,"(1,417 reviews)"
116,2019 Porsche 718 Cayman Base," 32,806 mi.","$60,995",Good Deal,Nan,4.5,(162 reviews)
117,2021 Subaru Crosstrek Premium," 12,991 mi.","$30,464",Great Deal,Nan,4.1,(137 reviews)
118,2007 Lotus Elise ," 16,073 mi.","$52,995",Great Deal,"keyless entry, LED Headlights, Sunroof/Moonroof, Memory Seat, parking assistance, Backup Camera, parking distance sensors",3.8,(51 reviews)
119,2020 Nissan Pathfinder SV," 59,771 mi.","$22,477","Great Deal | $4,316 under","keyless entry, Blind Spot Monitor, Rear Cross Traffic Alert",3.0,(80 reviews)
120,2016 Hyundai Veloster Turbo," 86,746 mi.","$16,500",Fair Deal,Nan,3.8,(76 reviews)
121,2012 Chevrolet Traverse LT," 130,349 mi.","$7,999","Great Deal | $1,085 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, driver monitor, Automatic Emergency Braking, collision warning system, traffic sign recognition",2.4,(27 reviews)
122,2007 GMC Sierra 2500 Work Truck," 83,590 mi.","$15,998","Great Deal | $1,151 under",keyless entry,4.9,(299 reviews)
123,2020 Land Rover Defender 110 SE," 26,256 mi.","$65,000",Great Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Cooled Seats, Heated Seats, parking assistance, autonomous drive, Lane Departure Warning, parking distance sensors, traffic sign recognition, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Backup Camera, Rear Cross Traffic Alert",4.6,(299 reviews)
124,2022 Subaru BRZ Limited," 6,890 mi.","$35,977",Great Deal,Nan,4.7,(14 reviews)
125,2020 Nissan Armada SL," 59,539 mi.","$29,995",Home Delivery,"keyless entry, LED Headlights, Sunroof/Moonroof",4.6,(4 reviews)
126,2014 Kia Optima LX," 155,485 mi.","$9,995",Good Deal | $155 under,Nan,4.4,(186 reviews)
127,2018 Mazda Mazda6 Grand Touring," 44,946 mi.","$23,998",Good Deal | $732 under,Nan,4.9,"(2,949 reviews)"
128,2018 Mazda Mazda6 Grand Touring," 44,946 mi.","$23,998",Good Deal | $732 under,"keyless entry, Apple CarPlay/Android Auto, USB Port, traffic sign recognition, driver monitor, Automatic Emergency Braking, autonomous drive, collision warning system, dynamic steering, Rear Cross Traffic Alert, parking distance sensors, parking assistance",4.9,"(2,949 reviews)"
129,2011 Mercedes-Benz G-Class G 550," 77,685 mi.","$59,990",Good Deal | $506 under,Nan,3.7,(114 reviews)
130,2021 Audi SQ7 4.0T," 16,682 mi.","$79,351",Home Delivery,"keyless entry, LED Headlights, Cooled Seats, Sunroof/Moonroof",4.6,(196 reviews)
131,2011 Jaguar XK R," 70,240 mi.","$27,950","Great Deal | $2,181 under","headlight control - auto highbeam, keyless entry, LED Headlights, Heated Seats, Cooled Seats, Sunroof/Moonroof, Heated Steering Wheel, Memory Seat, Leather Seats, dynamic steering, driver monitor, collision warning system, autonomous drive",4.8,(83 reviews)
