,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2177,4956,4.9,3149,2022,38290.0,Volkswagen,Great, Volkswagen Atlas 2.0T SE w/Technology
2179,41716,4.7,1382,2020,59987.0,Chevrolet,Great, Chevrolet Suburban Premier
2180,9882,4.8,2765,2022,39000.0,Kia,Fair, Kia K5 GT-Line
2181,10722,3.1,34,2022,42500.0,Nissan,Fair, Nissan Murano Platinum
2182,3131,4.9,1271,2019,264949.0,Ferrari,Fair,19 Ferrari Portofino Base
2183,34145,4.5,134,2020,32995.0,Ford,Great, Ford F-150 
2184,7920,4.5,517,2021,46283.0,Volkswagen,Good,1 Volkswagen ID.4 Pro S
2185,31264,3.8,106,2021,32927.0,Buick,Good,1 Buick Envision Preferred
2186,57912,4.4,6697,2020,22900.0,Dodge,Unknown, Dodge Charger SXT
2187,23461,4.7,3363,2021,39500.0,Honda,Great,1 Honda Pilot Touring 7-Passenger
2188,26154,4.6,1252,2021,44141.0,Dodge,Great,1 Dodge Durango R/T
2189,8500,4.5,412,2022,56510.0,INFINITI,Good, INFINITI QX55 SENSORY
2190,10938,5.0,127,2022,30899.0,Honda,Unknown, Honda HR-V 
2191,6023,4.6,1037,2022,64600.0,Volvo,Unknown, Volvo XC60 Recharge Plug-In Hybrid eAWD Inscription
2192,7551,3.5,1245,2021,57695.0,Toyota,Fair,1 Toyota RAV4 Prime XSE
2193,17335,4.8,2057,2021,44984.0,Toyota,Good,1 Toyota Highlander Limited
2194,39775,4.8,300,2020,51571.0,BMW,Great, BMW X5 sDrive40i
2195,29945,4.7,1121,2019,34859.0,Volvo,Good,19 Volvo S60 T6 Inscription
2196,63017,4.5,355,2018,27000.0,Chevrolet,Good,18 Chevrolet Traverse LT Cloth
2197,49618,2.6,11,2018,36900.0,Ford,Great,18 Ford Transit-150 Base
2198,29689,4.6,945,2019,26841.0,Honda,Great,19 Honda Passport Sport
2199,46022,4.8,183,2021,44888.0,Chrysler,Fair,1 Chrysler Pacifica Limited
2200,32076,4.7,1929,2019,32499.0,INFINITI,Great,19 INFINITI QX50 Luxe
2201,5060,3.0,585,2022,58990.0,Acura,Great, Acura MDX Type S
2202,11295,4.1,1017,2020,59998.0,Mercedes-Benz,Great, Mercedes-Benz E-Class E 450 4MATIC
2203,2269,4.0,1122,2022,61990.0,RAM,Good, RAM 1500 Limited
2204,3956,4.9,1469,2022,66999.0,Jeep,Fair, Jeep Grand Cherokee L Overland
2205,32949,4.8,1615,2020,71980.0,BMW,Fair, BMW X5 M50i
2206,25451,4.6,1456,2018,41994.0,Ford,Great,18 Ford F-150 Lariat
2207,16686,4.8,1839,2022,34951.0,Ford,Good, Ford Bronco Sport Big Bend
2208,11313,5.0,254,2021,38500.0,Ford,Unknown,1 Ford Bronco Sport Outer Banks
2209,5435,4.8,1839,2022,40950.0,Ford,Good, Ford Bronco Sport Badlands
2210,49608,4.7,189,2020,39141.0,Dodge,Good, Dodge Durango R/T
2212,56959,4.7,1454,2020,27995.0,Chevrolet,Good, Chevrolet Impala Premier
2213,1924,3.0,585,2022,41490.0,Acura,Good, Acura TLX A-Spec
2214,5484,3.7,63,2021,59986.0,BMW,Good,1 BMW M440 i xDrive
2215,57016,2.5,28,2021,24103.0,Kia,Unknown,1 Kia Seltos S
2216,71150,3.6,293,2018,19381.0,Nissan,Great,18 Nissan Pathfinder S
2217,53710,4.1,10,2020,28734.0,GMC,Good, GMC Acadia SLE
