,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
1785,23995.0,2019,4.8,12952,368,Volkswagen,Unknown,9 Volkswagen Golf SportWagen 1.4T S
1786,52000.0,2022,2.9,8794,123,Volvo,Great,Volvo XC90 T5 Momentum 7 Passenger
1787,43647.0,2021,4.5,36004,222,Cadillac,Unknown,Cadillac XT6 Premium Luxury AWD
1788,76988.0,2022,4.8,28660,885,BMW,Good,BMW X6 xDrive40i
1789,59995.0,2020,4.8,31978,2005,BMW,Great,BMW X3 M Base (A8)
1790,67998.0,2022,4.9,10554,1157,Jeep,Great,Jeep Wagoneer Series II
1791,34000.0,2021,4.4,31830,222,Nissan,Good,Nissan Rogue Platinum
1793,59998.0,2019,4.8,29717,6845,BMW,Great,9 BMW X7 xDrive40i
1794,59899.0,2022,4.0,935,416,Toyota,Good,Toyota RAV4 Prime XSE
1795,35900.0,2020,4.8,18548,368,Volkswagen,Unknown,Volkswagen Atlas Cross Sport 2.0T SEL
1796,32500.0,2020,4.7,62542,655,Chrysler,Good,Chrysler Pacifica Limited
1797,22187.0,2021,3.8,28296,77,Volkswagen,Unknown,Volkswagen Tiguan 2.0T S
1798,29995.0,2019,4.5,41548,365,BMW,Great,9 BMW X3 sDrive30i
1799,56491.0,2020,4.6,48582,1509,BMW,Unknown,BMW X3 M AWD
1800,139000.0,2022,4.4,2200,48,Porsche,Good,Porsche 911 Carrera
1801,26899.0,2020,5.0,31205,66,Acura,Great,Acura TLX FWD
1802,51000.0,2020,4.6,30514,698,Cadillac,Good,Cadillac XT6 Sport AWD
1803,64981.0,2018,4.3,29855,1074,Ford,Fair,Ford F-350 Lariat Super Duty
1804,42997.0,2020,3.8,35598,359,Volvo,Good,Volvo XC90 T5 Momentum 7 Passenger
1805,33788.0,2021,2.4,34011,27,Volkswagen,Great,Volkswagen Atlas 3.6L SE w/Technology
1806,48995.0,2022,4.8,8594,2796,Kia,Good,Kia Stinger GT
1807,35179.0,2018,3.9,31877,260,Kia,Great,Kia Stinger GT
1808,33749.0,2022,4.4,37675,1165,Subaru,Fair,Subaru Forester Wilderness
1809,35701.0,2020,4.8,14248,26,Subaru,Good,Subaru WRX Limited
1810,50100.0,2022,2.3,4859,56,GMC,Fair,GMC Sierra 1500 Pro
1811,81888.0,2019,4.8,30508,764,Toyota,Good,9 Toyota Land Cruiser V
1812,32995.0,2021,4.4,10232,359,Honda,Good,Honda Accord Sport SE
1813,42493.0,2021,4.5,22502,466,Toyota,Good,Toyota Sienna LE
1814,36250.0,2022,4.2,6108,511,Ford,Fair,Ford Bronco Sport OUTER BANKS
1815,45906.0,2021,4.7,49590,281,Jeep,Good,Jeep Gladiator Mojave
1816,29742.0,2022,4.6,12977,259,Toyota,Fair,Toyota Corolla LE
1817,21274.0,2020,4.6,22766,1079,Nissan,Good,Nissan Sentra S
1818,47016.0,2022,4.6,14187,318,Toyota,Good,Toyota Highlander XSE
1819,75000.0,2021,4.5,19989,7013,GMC,Good,GMC Sierra 3500 SLT
1820,34967.0,2021,4.5,27571,1061,Dodge,Great,Dodge Durango SXT
1821,62975.0,2022,4.9,258,1808,Toyota,Good,Toyota Tundra SR5
1822,43287.0,2021,3.3,11647,138,Chevrolet,Great,Chevrolet Traverse RS
1823,61848.0,2019,4.8,26146,1444,BMW,Great,9 BMW X7 xDrive40i
1824,40900.0,2020,3.0,16473,141,Cadillac,Good,Cadillac CT4 Premium Luxury
1825,37900.0,2021,3.0,4650,141,Cadillac,Great,Cadillac CT4 Luxury
1826,28893.0,2019,4.6,27808,325,Ford,Great,9 Ford Flex SEL
1827,32998.0,2021,4.9,29934,157,INFINITI,Unknown,INFINITI QX50 Luxe
1828,50500.0,2019,4.9,16538,2206,Volvo,Good,9 Volvo V90 T6 Inscription
1830,36995.0,2021,4.8,36283,2005,BMW,Good,BMW X1 xDrive28i
