,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
2401,Subaru,2018 Subaru Outback 2.5i Limited,22212 ,4.8,3412 ,32854,Fair Deal,2018,Fair
2402,INFINITI,2022 INFINITI QX55 ESSENTIAL,19087 ,4.9,157 ,43994,Good Deal,2022,Good
2403,Toyota,2020 Toyota Avalon TRD,22814 ,3.0,24 ,40900,Good Deal | $521 under,2020,Good
2404,BMW,2020 BMW M760 i xDrive,17502 ,4.9,394 ,115852,Good Deal,2020,Good
2405,Honda,2018 Honda Pilot EX,41145 ,4.8,2393 ,25988,Great Deal,2018,Great
2406,Toyota,2020 Toyota Tundra 1794,20100 ,4.6,530 ,49628,Great Deal | $3083 under,2020,Great
2407,Porsche,2016 Porsche Cayman GT4,15225 ,4.5,162 ,122995,CPO Warrantied,2016,Unknown
2408,BMW,2021 BMW X7 xDrive40i,11909 ,4.2,9 ,69987,CPO Warrantied,2021,Unknown
2409,Ford,2021 Ford F-150 XLT,3217 ,4.9,99 ,50490,Good Deal | $1299 under,2021,Good
2410,Toyota,2020 Toyota RAV4 XLE,36731 ,4.9,1839 ,33210,Good Deal | $852 under,2020,Good
2411,Ford,2018 Ford F-150 XLT,41451 ,4.6,1123 ,36295,Great Deal | $4436 under,2018,Great
2412,Volkswagen,2021 Volkswagen Jetta 1.4T SEL,27739 ,4.9,48 ,27545,CPO Warrantied,2021,Unknown
2413,GMC,2019 GMC Sierra 1500 Limited SLE,16224 ,4.3,1034 ,37895,Great Deal | $2330 under,2019,Great
2414,Jeep,2020 Jeep Cherokee Limited,38648 ,4.7,2254 ,27757,Great Deal | $3643 under,2020,Great
2415,BMW,2021 BMW X7 M50i,2976 ,4.8,1789 ,90955,Great Deal,2021,Great
2416,BMW,2019 BMW i8 Base,19407 ,4.3,458 ,98885,Great Deal,2019,Great
2417,Porsche,2017 Porsche 718 Cayman Base,39661 ,4.6,587 ,55996,Good Deal,2017,Good
2418,RAM,2021 RAM 1500 Big Horn,29696 ,4.7,308 ,47998,Good Deal,2021,Good
2419,GMC,2021 GMC Acadia SLE,27358 ,4.3,1034 ,37895,Fair Deal,2021,Fair
2420,Porsche,2018 Porsche Macan ,27190 ,5.0,62 ,44027,Great Deal | $4936 under,2018,Great
2421,Buick,2020 Buick Envision Preferred,21635 ,3.2,843 ,27926,Great Deal | $2387 under,2020,Great
2422,Volvo,2019 Volvo V90 Inscription,25915 ,4.9,835 ,49900,Fair Deal,2019,Fair
2423,Acura,2022 Acura MDX ,16902 ,4.9,1245 ,54100,CPO Warrantied,2022,Unknown
2424,Acura,2021 Acura RDX Technology Package,14167 ,4.7,517 ,42735,Good Deal | $757 under,2021,Good
2425,Chrysler,2021 Chrysler 300 S,47096 ,4.3,669 ,27951,Great Deal | $4542 under,2021,Great
2426,Toyota,2020 Toyota Tundra SR5,24797 ,4.5,3548 ,48999,Good Deal | $1046 under,2020,Good
2427,BMW,2021 BMW 750 i xDrive,19991 ,4.7,1065 ,80496,Great Deal,2021,Great
2428,RAM,2021 RAM 2500 Laramie,11990 ,4.1,670 ,83957,Fair Deal,2021,Fair
2429,INFINITI,2019 INFINITI QX80 LUXE,43561 ,4.5,740 ,50000,CPO Warrantied,2019,Unknown
2430,Volkswagen,2022 Volkswagen Atlas Cross Sport 3.6 V6 SEL,8693 ,4.4,1037 ,47915,CPO Warrantied,2022,Unknown
2431,Honda,2022 Honda Odyssey ,10800 ,4.4,146 ,53879,Good Deal,2022,Good
2432,BMW,2019 BMW i3 120Ah s w/Range Extender,19567 ,4.9,1499 ,39990,Fair Deal,2019,Fair
2433,Toyota,2019 Toyota Tundra Limited,2940 ,4.6,1244 ,51995,Good Deal | $939 under,2019,Good
2434,BMW,2021 BMW X1 xDrive28i,14735 ,4.8,824 ,37997,Good Deal,2021,Good
2435,Honda,2020 Honda Accord Sport 1.5T,20203 ,1.2,72 ,34998,Fair Deal,2020,Fair
2436,Nissan,2017 Nissan 370Z NISMO Tech,52254 ,4.7,1653 ,34499,Good Deal | $434 under,2017,Good
2437,Toyota,2022 Toyota RAV4 Hybrid XLE,828 ,4.6,530 ,43294,Good Deal | $815 under,2022,Good
2438,Jeep,2021 Jeep Renegade Trailhawk,42512 ,4.8,661 ,24234,Great Deal | $3986 under,2021,Great
2439,BMW,2021 BMW X3 sDrive30i,24796 ,4.0,631 ,41900,Great Deal | $8078 under,2021,Great
